sentence	sentence_id	locale	reason
Nu pot sa inteleg cand ma-m.	e72226077debe1e29699aaca561f4d5ad0296c00e4666257ccb096dbb1031da3	ro	grammar-or-spelling
Acestea trebuie să îşi exporte propriile bunuri.	b13c09d9cd20768b4a457b5abe69f6bc6a41395732d86a4514c9292c90dacaab	ro	grammar-or-spelling
Míle buíochas do mhuintir na hÉireann.	6ad51bdf9437629adb6865ee6ae3f3f9d43c092d3c1475ae505ea8f35992c0d5	ro	different-language
Aceasta se adaugă la aşa-numitul mandat condiţional.	cbc87b83940a70640d18a1c8ddca3d547a46e0425e98878879c3c6b0d121b063	ro	grammar-or-spelling
Un procent de cinci zero procent din populație trăiește la țară.	cc55f341a79dca9515246ec2ba4efa70e96f932e25c5bc0668403f2b84ed21ac	ro	grammar-or-spelling
Se cierra el turno de votaciones.	98be014590ad01a1fb1958d076c9db4773cb463709926d229f283f79a628564d	ro	different-language
Iti promit ca aluatul.	5bf3a706af7334170bf448bef142aa8832c1e117fad4f91eac0eedbac2cfedac	ro	grammar-or-spelling
Iti promit ca nu iti voi.	27721f59038b61c9bfe3be623a2efa9e520e7e0124ecf70c6ff99efd0fb4895b	ro	grammar-or-spelling
Sâmbătă noaptea se va circulă însă pe o singură bandă.	c9819d4ca894433321f65523fa11493ac537dea801a8bd7d0778ebb56da1851a	ro	grammar-or-spelling
Nu spun ca ce s-a.	6c3ccba662d315fb51119c4dcfc36f454fdb249e0eab57593a4e77348aeb57a0	ro	grammar-or-spelling
Curajul esteşi el o patrie.	aec02fd4bacc2794194cde3e885245531774ec3576b6cb5eb47f3d235a02a703	ro	grammar-or-spelling
Nu pot sa inteleg cand ma-m.	e72226077debe1e29699aaca561f4d5ad0296c00e4666257ccb096dbb1031da3	ro	grammar-or-spelling
